battery_charging,battery_type,body_,body_build,body_dimensions,body_sim,body_weight,comms_bluetooth,comms_nfc,comms_positioning,comms_radio,comms_usb,comms_wlan,display_,display_protection,display_resolution,display_size,display_type,features_,features_sensors,launch_announced,launch_status,main_camera_dual,main_camera_features,main_camera_quad,main_camera_triple,main_camera_video,memory_,memory_card_slot,memory_internal,misc_colors,misc_models,misc_price,misc_sar,misc_sar_eu,network_,network_2g_bands,network_3g_bands,network_4g_bands,network_5g_bands,network_speed,network_technology,phone_name,platform_chipset,platform_cpu,platform_gpu,platform_os,selfie_camera_features,selfie_camera_single,selfie_camera_video,sound_,sound_3.5mm_jack,sound_loudspeaker,tests_battery_(new),tests_battery_(old),tests_camera,tests_display,tests_loudspeaker,tests_performance
25W wired,5000 mAh,IP54 dust protected and water resistant (water splashes),"Glass front, plastic back, plastic frame",167.3 x 77.3 x 8 mm (6.59 x 3.04 x 0.31 in),Nano-SIM + Nano-SIM,191 g (6.74 oz),"5.3, A2DP, LE",No,"GPS, GLONASS, GALILEO, BDS",Unspecified,USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,"720 x 1600 pixels, 20:9 ratio (~262 ppi density)","6.7 inches, 108.4 cm2 (~83.8% screen-to-body ratio)","PLS LCD, 90Hz",,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","2025, February 19","Available. Released 2025, February 19","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)",LED flash,,,1080p@30/60fps,,microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","Black, Gray, Light Green","SM-A066B, SM-A066B/DS","₹ 10,499",1.05 W/kg (head),1.30 W/kg (head)     1.30 W/kg (body),,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66","1, 3, 5, 7, 8, 26, 28, 40, 41, 66, 77, 78 SA/NSA/Sub6","HSPA, LTE, 5G",GSM / HSPA / LTE / 5G,Samsung Galaxy A06 5G,Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,"Android 15, up to 4 major Android upgrades, One UI 7",,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",Yes,,Yes,Yes,,,,,,
25W wired,5000 mAh,IP54 dust protected and water resistant (water splashes),"Glass front, plastic back, plastic frame",164.4 x 77.9 x 7.9 mm (6.47 x 3.07 x 0.31 in),Nano-SIMNano-SIM + eSIMNano-SIM + Nano-SIM,200 g (7.05 oz),"5.3, A2DP, LE",Yes (market/region dependent),"GPS, GALILEO, GLONASS, BDS, QZSS",No,USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,"1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)","6.7 inches, 110.2 cm2 (~86.0% screen-to-body ratio)","Super AMOLED, 90Hz, 800 nits (HBM)",Virtual proximity sensing,"Fingerprint (side-mounted), accelerometer, gyro, compass","2024, October 07","Available. Released 2024, October 25",,"LED flash, panorama, HDR",,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, AF
5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm
2 MP, f/2.4, (macro)","1080p@30fps, gyro-EIS",,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","Blue Black, Light Gray, Gold, Light Green","SM-A166B, SM-A166B/DS, SM-A166P, SM-A166P/DS, SM-A166E, SM-A166E/DS",£ 118.79 / € 142.96 / $ 151.30 / C$ 196.00,,0.38 W/kg (head)     0.94 W/kg (body),"2, 5, 25, 41, 66, 71, 77, 78 SA/NSA/Sub6/mmWave - USA unlocked",GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41, 66 - International","1, 3, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA/Sub6 - International","HSPA, LTE, 5G",GSM / HSPA / LTE / 5G,Samsung Galaxy A16 5G,Exynos 1330 (5 nm) or Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55) or Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G68 MP2 or Mali-G57 MC2,"Android 14, up to 6 major Android upgrades, One UI 6.1",,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",1080p@30fps,,No,Yes,Active use score 12:08h,,,824 nits max brightness (measured),-25.7 LUFS (Very good),"AnTuTu: 368854 (v9), 435895 (v10)
GeekBench: 2090 (v5), 2042 (v6)
3DMark: 360 (Wild Life Extreme)"
25W wired,5000 mAh,IP54 dust protected and water resistant (water splashes),"Glass front, plastic back, plastic frame",164.4 x 77.9 x 7.9 mm (6.47 x 3.07 x 0.31 in),Nano-SIMNano-SIM + Nano-SIM,200 g (7.05 oz),"5.3, A2DP, LE",Yes (market/region dependent),"GPS, GALILEO, GLONASS, BDS, QZSS",FM radio (market/region dependent),USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,"1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)","6.7 inches, 110.2 cm2 (~86.0% screen-to-body ratio)","Super AMOLED, 90Hz",Virtual proximity sensing,"Fingerprint (side-mounted), accelerometer, compass","2024, October 15","Available. Released 2024, November 20",,"LED flash, panorama, HDR",,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, AF
5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm
2 MP, f/2.4, (macro)",1080p@30fps,,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 4GB RAM, 256GB 6GB RAM, 256GB 8GB RAM","Gray, water green, midnight blue","SM-A165F, SM-A165F/DS, SM-A165M, SM-A165M/DS",€ 126.59 / $ 125.00 / £ 104.10,,0.31 W/kg (head)     1.08 W/kg (body),,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,"HSPA, LTE",GSM / HSPA / LTE,Samsung Galaxy A16,Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,"Android 14, up to 6 major Android upgrades, One UI 7",,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",1080p@30fps,,No,Yes,Active use score 14:43h,,,808 nits max brightness (measured),-25.2 LUFS (Very good),"AnTuTu: 387422 (v10)
GeekBench: 1920 (v6)
3DMark: 345 (Wild Life Extreme)"
25W wired,5000 mAh,IP67 dust/water resistant (up to 1m for 30 min),"Glass front (Gorilla Glass Victus+), plastic frame, glass back (Gorilla Glass Victus+)",164 x 77.5 x 7.7 mm (6.46 x 3.05 x 0.30 in),Nano-SIM + Nano-SIM,200 g (7.05 oz),"5.3, A2DP, LE",Yes (market/region dependent),"GPS, GALILEO, GLONASS, BDS, QZSS",Unspecified,"USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,Corning Gorilla Glass Victus+,"1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)","6.7 inches, 110.2 cm2 (~86.7% screen-to-body ratio)","Super AMOLED, 120Hz","Virtual proximity sensing
Circle to Search","Fingerprint (side-mounted), accelerometer, gyro, compass","2025, March 02","Available. Released 2025, March 19",,"LED flash, panorama, HDR",,"50 MP, f/1.8, 27mm (wide), 1/2.76"", 0.64µm, PDAF, OIS
8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)","4K@30fps, 1080p@30fps, 720p@480fps, gyro-EIS",,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM","Black, White, Mint, Peach Pink","SM-A266E, SM-A266E/DS, SM-A266E/DSN, SM-A266B, SM-A266B/DS, SM-A266B/DSN, SM-A266U, SM-A266U1",£ 168.16 / € 199.00 / $ 212.49 / C$ 319.16,0.75 W/kg (head)     1.09 W/kg (body),0.41 W/kg (head)     0.96 W/kg (body),,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 32, 38, 40, 41, 66","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","HSPA, LTE, 5G",GSM / HSPA / LTE / 5G,Samsung Galaxy A26,Exynos 1380 (5 nm) - GlobalExynos 1280 (5 nm) - LATAM,Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55) - GlobalOcta-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55) - LATAM,Mali-G68 MP5 - GlobalMali-G68 - LATAM,"Android 15, up to 6 major Android upgrades, One UI 7",,"13 MP, f/2.2, (wide), 1/3.06"", 1.12µm",1080p@30fps,,No,Yes,Active use score 10:44h,,,777 nits max brightness (measured),-27.1 LUFS (Good),"AnTuTu: 579811 (v10)
GeekBench: 2768 (v6)
3DMark: 794 (Wild Life Extreme)"
25W wired,Li-Ion 5000 mAh,IP67 dust/water resistant (up to 1m for 30 min),"Glass front (Gorilla Glass Victus+), plastic frame, glass back",161.7 x 78 x 8.2 mm (6.37 x 3.07 x 0.32 in),Nano-SIM + eSIMNano-SIM + Nano-SIM,209 g (7.37 oz),"5.3, A2DP, LE",Yes (market/region dependent),"GPS, GALILEO, GLONASS, BDS, QZSS",No,"USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",,Corning Gorilla Glass Victus+,"1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)","6.6 inches, 106.9 cm2 (~84.8% screen-to-body ratio)","Super AMOLED, 120Hz, 1000 nits (HBM)","Virtual proximity sensing
Circle to Search","Fingerprint (under display, optical), accelerometer, gyro, compass","2024, March 11","Available. Released 2024, March 15",,"LED flash, panorama, HDR",,"50 MP, f/1.8, (wide), 1/1.96"", PDAF, OIS
8 MP, f/2.2, 123˚, (ultrawide), 1/4.0"", 1.12µm
5 MP, f/2.4, (macro)","4K@30fps, 1080p@30/60fps, gyro-EIS",,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","Iceblue, Lilac, Navy, Lemon","SM-A356E, SM-A356E/DS, SM-A356B, SM-A356B/DS, SM-A356U, SM-A356U1","$ 118.85 / C$ 329.99 / £ 199.99 / € 235.12 / ₹ 20,396",0.81 W/kg (head),0.44 W/kg (head)     0.92 W/kg (body),,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66","1, 3, 5, 7, 8, 26, 28, 40, 41, 66, 77, 78 SA/NSA/Sub6","HSPA, LTE, 5G",GSM / HSPA / LTE / 5G,Samsung Galaxy A35,Exynos 1380 (5 nm),Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G68 MP5,"Android 14, up to 4 major Android upgrades, One UI 7",,"13 MP, f/2.2, (wide), 1/3.06"", 1.12µm","4K@30fps, 1080p@30fps",,No,"Yes, with stereo speakers",Active use score 12:26h,,,1024 nits max brightness (measured),-26.1 LUFS (Good),"AnTuTu: 522829 (v9), 603441 (v10)

GeekBench: 2740 (v5), 2931 (v6)
3DMark: 806 (Wild Life Extreme)"
"45W wired, 66% in 30 min, 100% in 68 min",5000 mAh,IP67 dust/water resistant (up to 1m for 30 min),"Glass front (Gorilla Glass Victus+), plastic frame, glass back (Gorilla Glass Victus+)",162.9 x 78.2 x 7.4 mm (6.41 x 3.08 x 0.29 in),Nano-SIM + Nano-SIM + eSIM + eSIM (max 2 at a time),195 g (6.88 oz),"5.4, A2DP, LE",Yes (market/region dependent),"GPS, GALILEO, GLONASS, BDS, QZSS",No,"USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",,Corning Gorilla Glass Victus+,"1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)","6.7 inches, 110.2 cm2 (~86.5% screen-to-body ratio)","Super AMOLED, 120Hz, 1200 nits (HBM), 1900 nits (peak)","Virtual Proximity Sensing
Circle to Search","Fingerprint (under display, optical), accelerometer, gyro, compass","2025, March 02","Available. Released 2025, March 10",,"LED flash, panorama, HDR",,"50 MP, f/1.8, (wide), 1/1.96"", PDAF, OIS
8 MP, f/2.2, 123˚, (ultrawide), 1/4.0"", 1.12µm
5 MP, f/2.4, (macro)","4K@30fps, 1080p@30/60fps, gyro-EIS",UFS 2.2,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","Lavender, Black, White, Lime","SM-A366E, SM-A366E/DS, SM-A366B, SM-A366B/DS, SM-A366U, SM-A366U1","€ 257.99 / $ 254.60 / £ 258.01 / ₹ 30,999",1.07 W/kg (head),0.53 W/kg (head)     1.29 W/kg (body),,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","HSPA, LTE, 5G",GSM / HSPA / LTE / 5G,Samsung Galaxy A36,Qualcomm SM6475-AB Snapdragon 6 Gen 3 (4 nm),Octa-core (4x2.4 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,"Android 15, up to 6 major Android upgrades, One UI 7",,"12 MP, f/2.2, (wide)","4K@30fps, 1080p@30fps, 10-bit HDR",,No,"Yes, with stereo speakers",Active use score 11:38h,,,1233 nits max brightness (measured),-26.2 LUFS (Good),"AnTuTu: 613492 (v10)
GeekBench: 2917 (v6)
3DMark: 912 (Wild Life Extreme)"
25W wired,Li-Ion 5000 mAh,IP67 dust/water resistant (up to 1m for 30 min),"Glass front (Gorilla Glass Victus+), glass back (Gorilla Glass), aluminum frame",161.1 x 77.4 x 8.2 mm (6.34 x 3.05 x 0.32 in),Nano-SIMNano-SIM + eSIMNano-SIM + Nano-SIMNano-SIM + Nano-SIM + eSIM (max 2 at a time),213 g (7.51 oz),"5.3, A2DP, LE",Yes (market/region dependent),"GPS, GALILEO, GLONASS, BDS, QZSS",No,"USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",,Corning Gorilla Glass Victus+,"1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)","6.6 inches, 106.9 cm2 (~85.8% screen-to-body ratio)","Super AMOLED, 120Hz, HDR10+, 1000 nits (HBM)","Virtual proximity sensing
Circle to Search","Fingerprint (under display, optical), accelerometer, gyro, compass","2024, March 11","Available. Released 2024, March 15",,"LED flash, panorama, HDR",,"50 MP, f/1.8, (wide), 1/1.56"", 1.0µm, PDAF, OIS
12 MP, f/2.2, 123˚ (ultrawide), 1/3.06"", 1.12µm
5 MP, f/2.4, (macro)","4K@30fps, 1080p@30/60fps, gyro-EIS",,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","Iceblue, Lilac, Navy, Lemon","SM-A556V, SM-A556B, SM-A556B/DS, SM-A556E, SM-A556E/DS, SM-A5560",£ 271.64 / € 308.80 / $ 349.50,,0.68 W/kg (head)     1.04 W/kg (body),,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","HSPA, LTE, 5G",GSM / HSPA / LTE / 5G,Samsung Galaxy A55,Exynos 1480 (4 nm),Octa-core (4x2.75 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Xclipse 530,"Android 14, up to 4 major Android upgrades, One UI 6.1",,"32 MP, f/2.2, 26mm (wide), 1/2.74"", 0.8µm","4K@30fps, 1080p@30/60fps",,No,"Yes, with stereo speakers",Active use score 13:27h,,,1010 nits max brightness (measured),-25.7 LUFS (Very good),"AnTuTu: 635598 (v9), 726158 (v10)

GeekBench: 3259 (v5), 3350 (v6)
3DMark: 1024 (Wild Life Extreme)"
"45W wired, 65% in 30 min, 100% in 68 min",5000 mAh,IP67 dust/water resistant (up to 1m for 30 min),"Glass front (Gorilla Glass Victus+), glass back (Gorilla Glass Victus+), aluminum frame",162.2 x 77.5 x 7.4 mm (6.39 x 3.05 x 0.29 in),Nano-SIM + Nano-SIM + eSIM + eSIM (max 2 at a time),198 g (6.98 oz),"5.3, A2DP, LE",Yes (market/region dependent),"GPS, GALILEO, GLONASS, BDS, QZSS",No,"USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",,Corning Gorilla Glass Victus+,"1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)","6.7 inches, 110.2 cm2 (~87.7% screen-to-body ratio)","Super AMOLED, 120Hz, HDR10+, 1200 nits (HBM), 1900 nits (peak)","Virtual Proximity Sensing
Circle to Search","Fingerprint (under display, optical), accelerometer, gyro, compass","2025, March 02","Available. Released 2025, March 10",,"Best Face, LED flash, panorama, HDR",,"50 MP, f/1.8, (wide), 1/1.56"", 1.0µm, PDAF, OIS
12 MP, f/2.2, 123˚ (ultrawide), 1/3.06"", 1.12µm
5 MP, f/2.4, (macro)","4K@30fps, 1080p@30/60fps, gyro-EIS",UFS 3.1,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","Pink, Olive, Graphite, Lightgray","SM-A566V, SM-A566B, SM-A566B/DS, SM-A566E, SM-A566E/DS, SM-A5660","$ 333.60 / C$ 513.99 / £ 292.89 / € 329.00 / ₹ 38,999",1.32 W/kg (head),0.61 W/kg (head)     1.05 W/kg (body),,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","HSPA, LTE, 5G",GSM / HSPA / LTE / 5G,Samsung Galaxy A56,Exynos 1580 (4 nm),Octa-core (1x2.9 GHz Cortex-A720 & 3x2.6 GHz Cortex-A720 & 4x1.9 GHz Cortex-A520),Xclipse 540,"Android 15, up to 6 major Android upgrades, One UI 7",,"12 MP, f/2.2, (wide)","4K@30fps, 1080p@30/60fps, 10-bit HDR",,No,"Yes, with stereo speakers",Active use score 12:08h,,,1213 nits max brightness (measured),-26.2 LUFS (Good),"AnTuTu: 908689 (v10)
GeekBench: 3899 (v6)
3DMark: 1332 (Wild Life Extreme)"
45W wired,5000 mAh,,"Glass front, silicone polymer (eco leather) back, plastic frame",163.9 x 76.5 x 7.8 mm (6.45 x 3.01 x 0.31 in),Nano-SIM + Nano-SIM,180 g (6.35 oz),"5.2, A2DP, LE",Yes,"GPS, GALILEO, GLONASS, BDS, QZSS",No,"USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",,,"1080 x 2400 pixels, 20:9 ratio (~393 ppi density)","6.7 inches, 108.4 cm2 (~86.4% screen-to-body ratio)","Super AMOLED+, 120Hz, 1000 nits (HBM)",,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","2024, April 22","Available. Released 2024, April 22",,"LED flash, panorama, HDR",,"50 MP, f/1.8, (wide), 1/1.56"", 1.0µm, PDAF, OIS
8 MP, f/2.2, 123˚ (ultrawide)
2 MP, f/2.4, (macro)","4K@30fps, 1080p@30/60fps, gyro-EIS, OIS",,microSDXC (uses shared SIM slot),"256GB 8GB RAM, 256GB 12GB RAM","Black, Orange",SM-C5560,,,,,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 28, 34, 38, 39, 40, 41, 66","1, 3, 5, 8, 20, 28, 41, 66, 77, 78, 79 SA/NSA/Sub6","HSPA, LTE, 5G",GSM / HSPA / LTE / 5G,Samsung Galaxy C55,Qualcomm SM7450-AB Snapdragon 7 Gen 1 (4 nm),Octa-core (1x2.4 GHz Cortex-A710 & 3x2.36 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),Adreno 644,"Android 14, One UI 6.1",,"50 MP, f/2.4, (wide)","4K@30fps, 1080p@30/60fps",,No,"Yes, with stereo speakers",,,,,,
25W wired,Li-Ion 5000 mAh,,"Glass front, plastic back, plastic frame",167.4 x 77.4 x 8 mm (6.59 x 3.05 x 0.31 in),Nano-SIM + Nano-SIM,191 g (6.74 oz),"5.3, A2DP, LE",No,"GPS, GLONASS, GALILEO, BDS",Unspecified,"USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,"720 x 1600 pixels, 20:9 ratio (~262 ppi density)","6.7 inches, 108.4 cm2 (~83.6% screen-to-body ratio)","PLS LCD, 800 nits (HBM)",,"Fingerprint (side-mounted), accelerometer, proximity, compass","2025, February 12",Available. Released February 20,"50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)",LED flash,,,1080p@30/60fps,,microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","Bahama Blue, Lit Violet","SM-E066B, SM-E066B/DS","₹ 8,489",1.05 W/kg (head),1.30 W/kg (head)     1.30 W/kg (body),,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100,LTE,SA/NSA,"HSPA, LTE, 5G",GSM / HSPA / LTE / 5G,Samsung Galaxy F06 5G,Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,"Android 15, up to 4 major Android upgrades, One UI Core 7.0",,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",Yes,,Yes,Yes,,,,,,
